cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,0,0,3,,,,,,,,,,,,,14.8658347,142.1078715,182.967122,4.1,186.6099846,190.7220394,190.7184655,0.3054333,191.1567072,191.1567072,m,1.441238,194.7287266,194.7287266,13,2.055,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,4.8,194.7287266,199.5315152,199.5317062,0.3052009,199.9759323,199.9759323,m,1.8117282,205.1342049,205.1342049,14,3.296,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,4.3,205.1342049,209.4356274,209.4357671,0.3076386,209.8872666,209.8872666,n,1.5853596,213.7030982,213.7030982,10,2.171,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,4.7,213.7030982,218.4019614,218.4021086,0.3049523,218.8461861,218.8461861,n,1.0635534,225.0360971,225.0360971,9,5.103,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,3.7,271.8720877,275.5755047,275.5755483,0.3053223,276.0223406,276.0223406,m,1.8045535,281.782675,281.782675,14,3.887,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,6,,,,,,,,5,281.782675,286.7851581,286.7851593,0.3051946,287.229567,287.229567,n,0.6559778,291.6131197,291.6131197,1,3.665,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,4.3,291.6131197,295.9182802,295.91822,0.3051382,296.3628428,296.3628428,m,0.9502244,299.574693,299.574693,9,2.198,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,11,,,,,,,,3.5,299.574693,303.0791205,303.0798506,0.3038925,303.5230404,303.5230404,m,0.9753887,311.2421204,311.2421204,17,6.679,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,7,,,,,,,,3.6,311.2421204,314.8441197,314.8441116,0.3053053,315.2956973,315.2956973,n,0.689044,318.8363147,318.8363147,1,2.79,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,0,,,,,,,,3.7,318.8363147,322.5398059,322.5397809,0.3049699,322.9835991,322.9835991,m,0.8752626,326.9402661,326.9402661,16,3.033,,,,,sub-022,30,60,700,bloc_loop.csv,2023-06-12_17h12.38.776,PainUncertainty,2022.2.5,143.2792025
