cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.stopped,Choice.stopped,choice_pain.keys,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,0,0,2,,,,,,,,,,,,,23.251485700006015,229.60779770000954,275.0715357000008,4.4,277.91602350000176,282.31599010000355,282.3153046800056,0.2996056999982102,282.75408640000387,282.75408640000387,285.2278745000076,285.2278745000076,None,297.42380790000607,297.42380790000607,37,12.159,,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,4.4,297.42380790000607,301.824737700008,301.8248547800089,0.30494879999605473,302.2694043000083,302.2694043000083,,,n,307.01266070001293,307.01266070001293,27,4.101,0.558476399994106,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,3.9,307.01266070001293,310.9161096000025,310.9160675799998,0.3051067999913357,311.3603327000019,311.3603327000019,,,m,315.54461700000684,315.54461700000684,61,3.406,0.7198831999849062,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,3.6,315.54461700000684,319.14654950000113,319.1467933800071,0.30476199999975506,319.5909883000131,319.5909883000131,,,m,323.89480190000904,323.89480190000904,57,3.518,0.7596389999962412,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,6,,,,,,,,3.1,354.26469290000387,357.3662667000026,357.3663993800059,0.3047459999943385,357.8104675000068,357.8104675000068,,,n,360.95834070000274,360.95834070000274,26,2.101,0.9705740000063088,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,0,,,,,,,,3.7,360.95834070000274,364.659143900004,364.65937518000135,0.3010375000012573,365.1035976999992,365.1035976999992,,,m,367.1593852000078,367.1593852000078,57,1.378,0.599281399991014,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,8,,,,,,,,3.2,367.1593852000078,370.36077189999924,370.36087948000056,0.305082399994717,370.8053790000122,370.8053790000122,,,n,373.99965710000833,373.99965710000833,24,2.483,0.636620799996308,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,1,,,,,,,,3.8,373.99965710000833,377.79911849999917,377.79928488001167,0.30134830001043156,378.24358040001243,378.24358040001243,,,m,382.05243670000345,382.05243670000345,56,2.996,0.7360312999953749,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,7,,,,,,,,3.4,382.05243670000345,385.45285810000496,385.45302928001036,0.30499190000409726,385.89699230001133,385.89699230001133,,,n,388.73086930000864,388.73086930000864,29,2.24,0.5257936999987578,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,4,,,,,,,,3.9,388.73086930000864,392.6343718999997,392.6344011800014,0.3054534999973839,393.08128290000604,393.08128290000604,,,m,395.92401660000905,395.92401660000905,55,2.287,0.4785584000055678,,,sub-051,45,80,700,bloc_loop.csv,2023-09-20_16h28.56.961,PainUncertainty,2022.2.5,144.2901501860692,
